source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Hela20ng_S2_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221129_1	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela20ng_S2_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221129_1	1	49	Hela20ng_S2_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221129_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela20ng_S2_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221129_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela20ng_S2_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221129_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela200pg_S2_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221121_4	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela200pg_S2_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221121_4	1	50	Hela200pg_S2_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221121_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela200pg_S2_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221121_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela200pg_S2_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221121_4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela200pg_S1_nDDMcoat_DDM_LysC_DilDig_43minDDA_20221117_3	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela200pg_S1_nDDMcoat_DDM_LysC_DilDig_43minDDA_20221117_3	1	51	Hela200pg_S1_nDDMcoat_DDM_LysC_DilDig_43minDDA_20221117_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela200pg_S1_nDDMcoat_DDM_LysC_DilDig_43minDDA_20221117_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela200pg_S1_nDDMcoat_DDM_LysC_DilDig_43minDDA_20221117_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela2ng_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221121_4	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela2ng_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221121_4	1	52	Hela2ng_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221121_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela2ng_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221121_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela2ng_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221121_4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela2ng_S1_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221121_2	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela2ng_S1_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221121_2	1	53	Hela2ng_S1_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221121_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela2ng_S1_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221121_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela2ng_S1_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221121_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela20ng_S2_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221129_1	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela20ng_S2_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221129_1	1	54	Hela20ng_S2_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221129_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela20ng_S2_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221129_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela20ng_S2_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221129_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela20ng_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221129_3	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela20ng_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221129_3	1	55	Hela20ng_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221129_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela20ng_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221129_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela20ng_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221129_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela200pg_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221117_1	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela200pg_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221117_1	1	56	Hela200pg_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221117_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela200pg_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221117_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela200pg_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221117_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela20ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_3	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela20ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_3	1	57	Hela20ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela20ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela20ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela2ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221121_4	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela2ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221121_4	1	58	Hela2ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221121_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela2ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221121_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela2ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221121_4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela200pg_S1_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221117_1	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela200pg_S1_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221117_1	1	59	Hela200pg_S1_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221117_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela200pg_S1_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221117_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela200pg_S1_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221117_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela100ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_3	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela100ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_3	1	60	Hela100ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela100ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela100ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela100ng_S1_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221129_1	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela100ng_S1_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221129_1	1	61	Hela100ng_S1_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221129_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela100ng_S1_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221129_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela100ng_S1_nDDMcoat_DDM_Tryp_DigDil_43minDDA_20221129_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela100ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221129_3	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela100ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221129_3	1	62	Hela100ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221129_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela100ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221129_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela100ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221129_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela20ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_1	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela20ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_1	1	63	Hela20ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela20ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela20ng_S2_nDDMcoat_DDM_LysC_DigDil_43minDDA_20221129_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela200pg_S1_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221121_2	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela200pg_S1_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221121_2	1	64	Hela200pg_S1_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221121_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela200pg_S1_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221121_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela200pg_S1_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221121_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela20ng_S2_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221129_3	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela20ng_S2_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221129_3	1	65	Hela20ng_S2_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221129_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela20ng_S2_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221129_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela20ng_S2_nDDMcoat_DDM_GluC_DigDil_43minDDA_20221129_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela2ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221121_2	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela2ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221121_2	1	66	Hela2ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221121_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela2ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221121_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela2ng_S2_nDDMcoat_DDM_GluC_DilDig_43minDDA_20221121_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Hela200pg_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221121_2	Homo sapiens	Epithelial cell	not available	not available	not available	not available	not available	not available	Epithelial cell	HeLa	tissue	single cell	not applicable	Hela200pg_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221121_2	1	67	Hela200pg_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221121_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hela200pg_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221121_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD048926/Hela200pg_S2_nDDMcoat_DDM_Tryp_DilDig_43minDDA_20221121_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Glu-C;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	20 ppm	0.1 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
